nl Word	English verb	P(w->t)	P(w->a)	P(a->t)	E(t)	E(a)	V(t)	V(a)	S(t)	S(a)
-oorlogen	corner	0	0	-1	-1	1	1	1	0	0
beschik	have	1	1	1	0	0	1	1	0	1
bevoegdheidssfeer	field	0	0	1	1	1	1	1	0	0
schoen-	protect	1	1	1	1	0	1	1	1	1
besproeit	spray	0	-1	0	-1	0	1	-1	-1	0
leuk	like	1	1	1	1	0	1	1	1	1
Chemicaliënagentschap	establish	0	0	1	1	1	1	1	1	1
verzwakking	weaken	0	-1	0	-1	0	1	0	-1	0
leus	term	1	1	0	1	1	1	0	0	0
paradepaardje	issue	0	0	0	1	0	1	1	0	0
zaalwachters	usher	0	0	0	1	0	1	1	0	1
verslag-Trautmann	report	0	0	-1	1	0	0	1	0	-1
beroepsmatige	require	0	1	1	0	1	1	1	0	0
boeit	fascinate	0	-1	0	-1	0	1	0	-1	0
partiële	make	0	0	0	1	0	0	1	0	0
leidmotieven	run	0	1	1	1	1	1	1	0	1
resolutietekst	pose	0	0	0	1	0	1	1	0	0
verslag-Ainardi	report	0	0	-1	1	0	0	1	0	-1
Defensieraad	enjoy	1	1	1	1	1	1	1	1	1
immigratiewetten	matter	0	0	0	-1	0	1	1	0	0
wegdenken	be	0	1	0	0	0	0	1	0	1
0,26	represent	0	1	0	1	0	1	1	0	0
wezensbelang	strengthen	1	1	0	1	0	1	1	1	0
premievrije	wish	1	1	1	1	1	1	1	1	1
2,34	finance	1	1	1	1	1	1	1	0	1
zelfreiniging	own	0	1	1	1	1	1	1	0	1
suggereer	suggest	1	1	1	1	0	1	1	0	1
expertiserapporten	concern	1	-1	0	-1	0	1	1	-1	0
Mikhail	aspire	1	1	1	1	1	1	1	0	1
0,2%	raise	0	0	1	1	0	0	1	0	1
veroverden	capture	0	0	1	0	1	1	1	-1	1
onoverzichtelijk	confuse	0	0	0	-1	0	1	1	-1	0
douanediensten	point	0	0	0	0	1	0	1	0	0
arbeidsmigratie	work	1	1	1	1	0	1	1	0	1
j.l.	last	0	0	0	0	0	-1	-1	0	0
stoepje	house	1	1	0	1	1	1	1	1	1
afschaft	abolish	-1	1	-1	-1	1	1	1	-1	1
vuilnishoop	term	1	1	0	1	1	1	0	0	0
gratieverlening	pardon	1	1	1	1	0	1	1	1	1
groeidoelstellingen	set	0	0	1	1	1	1	1	0	1
antipersoonsmijnen	mine	0	0	0	1	0	1	1	0	0
rendierjacht	constitute	1	1	1	1	1	1	1	1	1
verslag-Elles-Miranda	report	0	0	-1	1	0	0	1	0	-1
CAO-onderhandelingen	bargain	0	0	1	0	1	1	1	0	1
rechtlijnigheid	can	0	0	0	0	0	1	1	0	1
herbekijkt	contribute	1	1	1	1	1	1	1	0	1
mond	talk	0	0	0	0	0	1	1	0	0
panels	appeal	0	0	-1	-1	-1	1	1	0	0
asielproblematiek	issue	0	0	0	1	0	1	1	0	0
LED-lampen	light	0	1	1	1	0	1	1	0	1
pleegden	commit	-1	-1	0	0	-1	0	1	0	-1
octrooitraditie	require	0	1	1	0	1	1	1	0	0
beursoperatie	disregard	0	-1	-1	-1	-1	1	1	0	-1
enabling	enable	1	1	0	1	1	1	1	1	0
intellectuelen	accomplish	1	1	1	1	1	1	1	0	1
nationalistisch	play	1	1	1	1	1	1	1	0	1
industriebonden	be	0	1	0	0	0	0	1	0	1
toplaag	top	0	0	1	0	1	1	1	0	1
11,6	welcome	1	1	1	1	1	1	1	1	1
overheidspropaganda	be	0	1	0	0	0	0	1	0	1
belastingaspecten	tax	0	0	1	1	1	0	1	0	1
overviel	further	1	1	1	1	0	1	1	0	1
bemiddelingspogingen	attempt	0	0	1	0	1	0	1	0	0
radioactief	date	0	0	1	0	1	0	1	0	1
vastspijkeren	make	0	0	0	1	0	0	1	0	0
Commissarissen	exceed	0	0	0	0	0	0	1	0	0
aansnijd	subject	0	0	1	1	0	1	1	0	1
flessenhalzen	account	0	0	0	0	0	1	1	0	0
maïs	risk	-1	0	-1	0	-1	0	1	0	-1
waterbouwkundige	defend	1	1	1	1	0	1	1	1	1
consensusoplossing	concern	1	-1	0	-1	0	1	1	-1	0
Kaïn	touch	1	0	1	0	0	1	1	0	1
wiel	wheel	0	0	0	0	1	1	1	0	1
stillegt	say	0	0	0	0	0	0	1	0	0
sovjetplanning	be	0	1	0	0	0	0	1	0	1
razzia	raid	0	0	-1	-1	1	1	1	-1	1
kweken	create	1	1	0	1	1	1	1	0	0
diamanthandel	trade	0	1	1	1	1	1	1	0	1
besluitvormingsfuncties	position	0	0	0	1	0	1	1	0	0
collegejaar	term	1	1	0	1	1	1	0	0	0
veiligheidscertificaten	grant	0	0	1	1	0	1	1	0	1
geruststelling	reassure	1	1	1	1	0	1	1	1	1
geassocieerde	associate	0	0	0	0	0	0	1	0	0
medeondertekenaars	have	1	1	1	0	0	1	1	0	1
besparingsmaatregelen	measure	0	1	0	0	0	0	1	0	1
doorwegen	be	0	1	0	0	0	0	1	0	1
kostenefficiënte	cost	0	-1	0	0	0	0	1	-1	0
vermisten	miss	1	1	0	0	-1	1	1	0	-1
prehistorie	time	0	0	1	0	1	0	1	0	1
these	serve	1	1	1	1	1	1	1	0	1
Straatsburg	last	0	0	0	0	0	-1	-1	0	0
Bussek	need	0	1	1	0	0	1	1	0	0
geschiktheidscontroles	apply	0	1	1	1	1	1	1	0	1
inkomenstoeslagen	supplement	1	1	1	1	1	1	1	0	1
regeringspropaganda	feed	1	1	1	1	0	1	1	1	1
Gemenebestlanden	be	0	1	0	0	0	0	1	0	1
hindoe-nationalisme	abandon	0	-1	-1	-1	-1	0	1	-1	-1
eraf	have	1	1	1	0	0	1	1	0	1
stellen,	set	0	0	1	1	1	1	1	0	1
Noord-Zuidbetrekkingen	comment	0	0	0	0	0	1	1	0	1
MKB	represent	0	1	0	1	0	1	1	0	0
ECPAT	take	1	1	1	0	1	1	1	0	1
Posterijen	pull	0	0	0	0	0	0	1	0	0
MKO	carry	0	1	1	0	0	1	1	0	0
vluchthulp	promote	1	1	1	1	1	1	1	0	1
bevoorradingsroute	supply	0	0	1	1	1	1	1	0	1
monsterachtig	create	1	1	0	1	1	1	1	0	0
neusje	top	0	0	1	0	1	1	1	0	1
stellen:	ask	0	0	0	0	1	1	1	0	0
Gyula	write	1	1	1	1	1	1	1	0	1
vanzelfsprekender	prosper	1	1	0	1	1	1	1	0	1
afhankelijk	depend	0	0	0	0	1	0	1	0	0
wapenstilstand	require	0	1	1	0	1	1	1	0	0
impact	affect	1	0	0	0	0	1	1	0	0
ondernemingsconcerns	own	0	1	1	1	1	1	1	0	1
asielpakket	package	0	0	0	1	1	0	1	0	1
oekaze	deprive	0	-1	0	-1	0	1	0	-1	0
MEDA	support	1	1	1	1	0	1	1	1	1
Munt	protect	1	1	1	1	0	1	1	1	1
hygiënemaatregelen	measure	0	1	0	0	0	0	1	0	1
condoleanceregister	book	0	0	1	1	1	1	1	0	1
bewaartemperatuur	appropriate	0	1	1	1	1	1	1	0	1
stellend	draw	0	0	1	1	1	1	0	0	0
stoere	appropriate	0	1	1	1	1	1	1	0	1
afschrikkingsbeleid	follow	0	0	1	1	1	1	1	0	1
Argentijnen	do	1	1	1	0	0	1	1	0	1
particuliere	term	1	1	0	1	1	1	0	0	0
-tijden	prevent	0	0	0	-1	0	1	1	-1	0
schaalverdeling	process	0	0	1	1	1	1	1	0	0
discussiegroep	group	0	0	0	1	1	0	1	0	1
gemankeerd	flaw	0	0	0	0	0	1	1	0	0
lange-termijnoplossingen	help	1	1	0	1	0	1	1	1	0
risicogevoeligheid	risk	-1	0	-1	0	-1	0	1	0	-1
houden.	keep	1	1	1	0	1	1	1	1	1
groeiend	grow	1	1	1	1	1	1	1	0	1
verslag-Speciale	report	0	0	-1	1	0	0	1	0	-1
biljet	note	0	0	0	0	0	0	1	0	0
stadslucht	air	0	0	0	-1	0	1	0	0	0
binnenliep	walk	0	1	1	0	0	-1	1	0	1
nestbevuiler	down	0	0	0	0	0	0	1	0	0
Aids	go	0	0	0	0	0	0	1	0	0
protectiemaatregelen	level	0	1	1	1	1	0	1	0	1
netwerkdiensten	incorporate	0	0	1	1	0	1	1	0	1
Frankenstein-voedsel	put	1	1	1	0	1	1	1	0	1
geboortecontrole	control	1	0	1	0	1	1	1	0	1
belastinggaten	plug	0	0	0	1	1	1	1	0	1
uitweiden	go	0	0	0	0	0	0	1	0	0
Marí	perfect	1	1	1	1	1	1	1	0	1
toewerpt	try	0	1	1	0	1	1	1	0	0
lijndiensten	schedule	1	1	1	1	1	1	1	0	1
newspeak	quote	1	1	1	1	1	1	1	0	0
salarisgaranties	wage	0	1	1	1	1	1	1	0	1
onderzoeksdialoog	number	0	0	0	1	0	0	1	0	0
producten	produce	1	1	1	1	0	1	1	0	1
terugbetalingen	return	0	0	0	0	0	1	1	0	0
maatregels	package	0	0	0	1	1	0	1	0	1
samenvat	sum	0	0	0	1	0	1	1	0	0
pendeldiensten	shuttle	0	0	0	1	0	1	1	0	0
actiefste	play	1	1	1	1	1	1	1	0	1
binnenshuis	be	0	1	0	0	0	0	1	0	1
publiek-privaat	be	0	1	0	0	0	0	1	0	1
geroemd	praise	1	1	1	1	1	1	1	1	1
UNDCP	control	1	0	1	0	1	1	1	0	1
Noord-Oeganda	be	0	1	0	0	0	0	1	0	1
schilderde	picture	0	0	0	0	0	1	1	0	0
Project	project	0	0	1	1	1	1	1	0	1
Teckomatorp	say	0	0	0	0	0	0	1	0	0
katoensteunregelingen	count	0	0	1	1	1	1	1	0	1
advocatenkantoor	involve	0	0	0	0	1	1	1	0	0
winstkansen	profit	1	0	1	0	1	1	1	0	1
ingevolge	follow	0	0	1	1	1	1	1	0	1
gasrichtlijn	leave	0	0	0	0	0	0	1	-1	0
voedseladditief	cope	0	1	0	0	1	1	1	0	1
beroepsstatuut	fail	0	0	-1	-1	-1	0	1	-1	-1
slotdebat	debate	0	1	0	1	1	1	1	0	0
figureert	include	1	1	1	1	1	1	1	1	0
geheugen	mind	0	0	1	1	1	1	1	0	1
leden.	do	1	1	1	0	0	1	1	0	1
aansprakelijkheidsregels	rule	1	1	1	1	1	1	1	0	1
samengebundeld	package	0	0	0	1	1	0	1	0	1
afvalverwerkingsstrategie	waste	0	-1	0	-1	-1	1	1	0	-1
toegeëigende	control	1	0	1	0	1	1	1	0	1
onderhandelingstafel	negotiate	1	1	1	1	1	1	1	0	1
Indochina	be	0	1	0	0	0	0	1	0	1
meegewerkt	work	1	1	1	1	0	1	1	0	1
Mari	belong	1	0	1	1	1	1	1	0	0
gezondheidsdienst	be	0	1	0	0	0	0	1	0	1
ambtgenoten	judge	0	0	-1	-1	1	1	1	-1	0
kennisontwikkeling	advance	0	1	1	1	1	0	1	0	1
baseerde	base	0	1	1	1	1	1	1	0	1
bijstandsdienst	relate	0	1	1	1	0	1	1	0	1
mafia	think	0	0	1	1	1	1	1	1	0
hoogmis	mass	0	0	0	1	0	0	1	0	0
ontwerpverordeningen	draft	1	1	1	1	1	1	1	0	1
bevlogen	inspire	1	1	1	1	1	1	1	1	1
wetgevingssituatie	position	0	0	0	1	0	1	1	0	0
Serengetipark	fire	0	0	1	0	1	0	1	0	1
kunstbloed	increase	1	1	0	1	0	1	1	0	1
TEN-projecten	project	0	0	1	1	1	1	1	0	1
grijpen	intervene	0	0	0	-1	0	1	1	0	1
voedselcontroles	control	1	0	1	0	1	1	1	0	1
compromisaanpak	compromise	0	-1	0	-1	-1	1	0	0	0
pro-actief	devote	1	1	1	1	0	1	1	0	1
Bidden	go	0	0	0	0	0	0	1	0	0
Shetland	suffer	-1	1	-1	0	-1	-1	1	0	-1
balken	beam	0	0	0	-1	0	0	-1	0	0
equivalent	deal	0	0	0	0	0	0	0	0	0
verslag-Gauzès	report	0	0	-1	1	0	0	1	0	-1
bewaren	maintain	1	0	1	1	0	1	1	0	1
geïnterviewden	be	0	1	0	0	0	0	1	0	1
vallende	cover	0	0	0	1	1	1	1	0	0
jager	hunt	0	1	1	1	1	1	1	-1	1
voortduurt	continue	1	1	1	1	1	0	1	0	1
arbitragebesluit	uphold	1	1	1	1	1	1	1	0	1
overduidelijke	clear	0	1	1	1	1	1	1	0	1
landbouwsectoren	farm	0	1	1	1	1	1	1	0	1
uitzie	look	0	1	1	0	0	0	1	0	1
wereldpolitieagent	be	0	1	0	0	0	0	1	0	1
geluidslimieten	limit	0	0	0	-1	0	1	1	0	0
felste	evolve	0	0	1	1	1	0	1	0	1
verslag-Ghilardotti	report	0	0	-1	1	0	0	1	0	-1
uitzit	serve	1	1	1	1	1	1	1	0	1
Gemeenschapsbudget	propose	0	1	1	1	0	0	1	0	1
gezondheidsbelangen	protect	1	1	1	1	0	1	1	1	1
stemmingsbepalingen	vote	0	0	0	1	1	1	1	0	0
praatjes	talk	0	0	0	0	0	1	1	0	0
maffia-organisaties	provide	1	1	1	1	1	1	1	0	1
houtsector	provide	1	1	1	1	1	1	1	0	1
bezoedelen	tarnish	0	-1	0	-1	0	1	0	-1	0
vogelbeschermingsrichtlijn	afford	0	1	0	1	0	1	1	0	1
opvolgende	enable	1	1	0	1	1	1	1	1	0
sanctiemechanisme	sanction	0	-1	-1	-1	0	1	1	0	1
voorganger	last	0	0	0	0	0	-1	-1	0	0
dwalen	be	0	1	0	0	0	0	1	0	1
-verbindingen	do	1	1	1	0	0	1	1	0	1
2000/75/EG	amend	1	1	1	1	1	1	1	0	1
spaak	put	1	1	1	0	1	1	1	0	1
verleggingsregelingen	step	1	1	1	1	1	0	1	0	1
log	become	0	0	0	0	0	0	1	0	0
spaan	amount	0	0	0	1	0	0	1	0	0
Gymnich-overleg	meet	0	1	1	1	1	1	1	0	1
eenwordingsideologie	impose	0	0	1	1	1	0	1	0	1
lol	do	1	1	1	0	0	1	1	0	1
afweet	know	1	1	1	0	1	1	1	0	1
bijna-meerderheid	start	1	1	1	1	1	1	1	0	1
uitdaagt	challenge	0	1	-1	-1	1	1	1	-1	0
lot	own	0	1	1	1	1	1	1	0	1
spaar	return	0	0	0	0	0	1	1	0	0
FPAP	fund	1	1	1	1	1	1	1	0	1
visserijtakken	exploit	0	-1	-1	-1	0	1	1	-1	0
zwemwateren	water	0	-1	0	-1	0	1	1	0	1
kromgegroeid	take	1	1	1	0	1	1	1	0	1
Tillich	steer	0	1	1	1	1	1	1	0	1
antipathieën	dislike	1	-1	1	1	-1	1	1	0	-1
Samenwerkingsovereenkomst	be	0	1	0	0	0	0	1	0	1
prestatieverklaring	explain	1	1	0	1	0	1	1	0	1
afhalen	take	1	1	1	0	1	1	1	0	1
EU-inspectoraat	coordinate	0	0	0	1	0	-1	0	0	0
recapituleren	major	0	1	0	0	1	1	1	0	1
prijspakket	price	0	0	1	1	1	0	1	0	1
inspectiewerkzaamheden	work	1	1	1	1	0	1	1	0	1
specialiseert	specialize	1	1	1	0	1	1	1	0	1
stijging	increase	1	1	0	1	0	1	1	0	1
hulpbronnenplanning	plan	1	1	1	1	1	1	1	0	1
onduidelijk	clear	0	1	1	1	1	1	1	0	1
landbouwvoorstellen	represent	0	1	0	1	0	1	1	0	0
roulerend	rotate	0	0	0	0	0	1	1	0	0
overweldigend	overwhelm	0	-1	-1	-1	0	1	-1	-1	0
crisismaatregel	down	0	0	0	0	0	0	1	0	0
deelnamen	take	1	1	1	0	1	1	1	0	1
push-methode	push	0	0	-1	-1	0	1	1	-1	0
geringer	lower	-1	1	1	0	0	1	1	0	1
naweeën	be	0	1	0	0	0	0	1	0	1
toepassingsmodaliteiten	apply	0	1	1	1	1	1	1	0	1
hoewel	be	0	1	0	0	0	0	1	0	1
halen	achieve	1	1	1	1	1	1	1	0	1
1,0%	try	0	1	1	0	1	1	1	0	0
topsporters	top	0	0	1	0	1	1	1	0	1
weggekaapt	steal	0	0	-1	-1	1	1	1	0	1
jachtpraktijken	hunt	0	1	1	1	1	1	1	-1	1
sectorgewijze	aim	0	0	0	1	1	0	1	0	1
Resolutie	last	0	0	0	0	0	-1	-1	0	0
schuwt	be	0	1	0	0	0	0	1	0	1
467	pronounce	0	1	1	0	0	1	1	0	1
vulstof	be	0	1	0	0	0	0	1	0	1
ouderdomsvoorziening	age	0	0	0	-1	0	1	1	0	0
uitgestrektheid	increase	1	1	0	1	0	1	1	0	1
allergieën	trigger	0	0	0	1	0	0	0	0	0
architectuurstudie	be	0	1	0	0	0	0	1	0	1
vervagen	blur	0	0	0	-1	0	0	0	0	0
460	pledge	1	1	1	1	1	1	1	0	1
vervoerssoort	run	0	1	1	1	1	1	1	0	1
podium	stage	0	1	1	1	1	0	1	0	1
beschavingsopzicht	deprive	0	-1	0	-1	0	1	0	-1	0
verbeteringsmogelijkheden	be	0	1	0	0	0	0	1	0	1
klimaatactie	complete	1	1	1	1	1	1	1	0	1
belastingvoeten	rate	0	1	0	1	0	0	1	0	0
gettovorming	promote	1	1	1	1	1	1	1	0	1
EU-beoordelingsteam	review	0	0	0	1	0	1	1	0	0
bedrijfsoverplaatsingen	create	1	1	0	1	1	1	1	0	0
ondernemingsplan	plan	1	1	1	1	1	1	1	0	1
uitgeroepen	declare	0	0	1	0	0	1	1	0	1
belabberd	state	0	1	1	1	0	1	1	0	0
hervormingsprojecten	plan	1	1	1	1	1	1	1	0	1
tapijten	prevent	0	0	0	-1	0	1	1	-1	0
doelland	target	0	0	0	1	0	0	0	0	0
moeite	trouble	0	-1	0	-1	0	1	0	-1	0
voedselveiligheidsregels	rule	1	1	1	1	1	1	1	0	1
inzagerecht	return	0	0	0	0	0	1	1	0	0
wraakacties	act	0	0	0	0	0	0	1	0	0
weggewist	do	1	1	1	0	0	1	1	0	1
publiceert	publish	1	1	1	1	1	1	1	0	1
afwijken	depart	1	0	1	-1	-1	1	1	0	0
fabricagepraktijken	put	1	1	1	0	1	1	1	0	1
Jamal	prevent	0	0	0	-1	0	1	1	-1	0
ontwikkelingshypothese	major	0	1	0	0	1	1	1	0	1
verkiezingsmethode	vote	0	0	0	1	1	1	1	0	0
emissiebeperking	control	1	0	1	0	1	1	1	0	1
-s	be	0	1	0	0	0	0	1	0	1
desiderata	do	1	1	1	0	0	1	1	0	1
exemplaire	request	0	0	1	0	1	1	1	0	1
realisering	achieve	1	1	1	1	1	1	1	0	1
landbouwnatie	farm	0	1	1	1	1	1	1	0	1
structuurlijn	line	0	0	0	0	1	0	1	0	1
vlaggen	fly	0	1	1	0	0	0	1	0	1
subgebied	incorporate	0	0	1	1	0	1	1	0	1
risicogebied	risk	-1	0	-1	0	-1	0	1	0	-1
autoverhuurbranche	hire	1	1	1	1	1	1	1	1	1
GrootBrittannië	sail	1	1	1	1	1	1	1	0	1
sportbeoefenaar	team	0	0	0	1	1	0	1	0	1
pressie	pressure	0	0	0	-1	0	0	1	-1	0
volksgezondheidsinstanties	advise	1	1	1	1	0	1	1	1	1
keuzemenu	ask	0	0	0	0	1	1	1	0	0
betaalkaart	credit	1	0	1	1	1	1	1	1	1
textielakkoord	be	0	1	0	0	0	0	1	0	1
gedragsveranderingen	change	0	1	0	1	0	1	1	0	1
FRONTEX-missie	repeat	0	1	0	1	0	1	1	0	0
bizonaal	encourage	1	1	1	1	0	1	1	1	1
energieroutes	route	0	0	0	0	0	1	1	0	0
noodtoestanden	bring	0	0	1	1	0	0	1	0	0
like-minded	like	1	1	1	1	0	1	1	1	1
-2	down	0	0	0	0	0	0	1	0	0
ongebaande	make	0	0	0	1	0	0	1	0	0
verslag-Jonckheer	report	0	0	-1	1	0	0	1	0	-1
watertarieven	water	0	-1	0	-1	0	1	1	0	1
chipkaart	chip	0	0	0	0	1	1	1	0	1
grondgebied	land	0	0	1	0	0	1	1	0	1
uitroeiingsplan	plan	1	1	1	1	1	1	1	0	1
crisisbeheersingscapaciteit	represent	0	1	0	1	0	1	1	0	0
dierproef	test	0	1	1	0	1	1	1	0	1
gisternacht	last	0	0	0	0	0	-1	-1	0	0
aanschaffingen	purchase	1	1	1	1	1	1	0	0	1
desnoods	need	0	1	1	0	0	1	1	0	0
zelfdiscipline	discipline	1	1	1	1	0	1	1	0	1
langetermijnvoordelen	benefit	1	1	0	1	1	1	1	1	1
marktextremisten	constitute	1	1	1	1	1	1	1	1	1
keldering	break	0	0	-1	-1	1	1	1	0	1
kustbeheer	zone	0	0	0	0	0	0	1	0	0
turbulente	trouble	0	-1	0	-1	0	1	0	-1	0
Trier	word	0	1	0	0	0	0	1	0	0
marktrichtlijn	market	0	0	0	1	1	1	1	0	1
popelen	be	0	1	0	0	0	0	1	0	1
emissiegrenswaarden	limit	0	0	0	-1	0	1	1	0	0
overgangstijden	derive	1	1	1	0	1	1	1	0	1
gezinslandbouwbedrijven	farm	0	1	1	1	1	1	1	0	1
bestolen	rob	0	-1	-1	-1	1	1	0	-1	0
personeelsaantallen	staff	1	1	1	1	1	1	1	0	1
antiterreurmaatregelen	measure	0	1	0	0	0	0	1	0	1
loten	draw	0	0	1	1	1	1	0	0	0
manipuleren	manipulate	0	0	0	0	0	1	1	0	1
patriarchale	clear	0	1	1	1	1	1	1	0	1
instemmingbrenging	vote	0	0	0	1	1	1	1	0	0
luchtvaartvervoer	deal	0	0	0	0	0	0	0	0	0
angstwekkende	alarm	0	0	0	-1	0	1	1	-1	0
Villiers	market	0	0	0	1	1	1	1	0	1
zwaarbeladen	desire	1	1	1	1	0	1	1	1	1
voedselvergiftiging	poison	0	-1	-1	-1	0	1	0	-1	1
elfde	represent	0	1	0	1	0	1	1	0	0
ongevallenpercentage	rate	0	1	0	1	0	0	1	0	0
insinueert	make	0	0	0	1	0	0	1	0	0
GALILEO-systeem	involve	0	0	0	0	1	1	1	0	0
steunbegroting	develop	0	1	0	1	0	0	1	0	0
Verona	hold	0	1	1	1	1	1	1	0	1
aanplakken	post	0	1	1	1	0	1	1	0	1
afgelasting	cancel	0	0	-1	-1	0	1	1	0	0
ingehakt	hit	0	-1	-1	-1	0	1	0	-1	0
topoverleg	meet	0	1	1	1	1	1	1	0	1
onverklaarbare	understand	1	1	1	1	1	1	1	0	1
veto's	veto	0	0	-1	-1	1	1	1	-1	1
meegetrokken	draw	0	0	1	1	1	1	0	0	0
amateurniveau	level	0	1	1	1	1	0	1	0	1
fijnst	hole	0	0	0	-1	1	0	1	0	0
family	take	1	1	1	0	1	1	1	0	1
afsmelten	melt	0	-1	0	-1	0	0	-1	0	0
eindversie	contain	0	0	0	0	0	0	1	0	0
waarschuwingstekst	warn	0	1	0	1	0	1	1	0	0
begrotingsinvloed	follow	0	0	1	1	1	1	1	0	1
Animal	march	0	0	0	0	0	0	1	0	0
milieuterrorisme	describe	0	0	0	1	0	0	1	0	1
gelogenstraft	prove	0	0	0	1	0	1	1	0	1
Carrilho	make	0	0	0	1	0	0	1	0	0
aquacultuursector	devote	1	1	1	1	0	1	1	0	1
deblokkering	release	0	0	0	1	0	1	1	1	1
verkeersrecht	fly	0	1	1	0	0	0	1	0	1
takes	take	1	1	1	0	1	1	1	0	1
aanhouding	arrest	0	0	-1	-1	1	1	1	-1	1
TACIS-kredieten	redirect	0	0	0	1	0	0	1	0	0
tekstvoorstellen	incorporate	0	0	1	1	0	1	1	0	1
propagandadoeleinden	name	0	1	1	1	1	1	1	0	1
orale	delight	1	-1	1	0	0	1	1	-1	1
rugzak	carry	0	1	1	0	0	1	1	0	0
taken	function	0	1	0	1	1	1	1	0	0
perspectiefloze	exchange	0	0	1	0	1	0	1	0	0
Petersberg-taken	undertake	1	1	1	1	0	1	1	0	1
afschrijving	write	1	1	1	1	1	1	1	0	1
bankvoorschriften	draft	1	1	1	1	1	1	1	0	1
treinlijnen	upgrade	0	0	0	1	1	1	1	0	1
beleeft	be	0	1	0	0	0	0	1	0	1
ratificatieoorkonden	be	0	1	0	0	0	0	1	0	1
Kyoto-akkoord	accord	1	0	0	1	0	1	1	0	1
landbouwwetgeving	farm	0	1	1	1	1	1	1	0	1
laatste	last	0	0	0	0	0	-1	-1	0	0
toepassingsgericht	support	1	1	1	1	0	1	1	1	1
ECHO-programma	word	0	1	0	0	0	0	1	0	0
Pacifisch	weight	0	-1	0	1	0	1	-1	0	0
onafhankelijkheid	gain	1	1	1	1	1	1	1	0	1
projectuitvoering	project	0	0	1	1	1	1	1	0	1
uitvoeringsinstrumenten	return	0	0	0	0	0	1	1	0	0
presteert	be	0	1	0	0	0	0	1	0	1
Midden-Oostenbeleid	comment	0	0	0	0	0	1	1	0	1
Bijlage	appear	1	0	1	0	0	1	1	0	1
bezinnen	consider	1	1	1	1	1	1	1	0	1
opengingen	open	1	1	1	1	0	0	1	0	1
mobiliteitsprogramma's	aim	0	0	0	1	1	0	1	0	1
EU-coördinatie	comment	0	0	0	0	0	1	1	0	1
kolengebruik	be	0	1	0	0	0	0	1	0	1
2011-2013	need	0	1	1	0	0	1	1	0	0
getouwtrek	wrangle	0	-1	0	-1	0	1	1	0	1
stoelnummer	number	0	0	0	1	0	0	1	0	0
VN-vredesplan	plan	1	1	1	1	1	1	1	0	1
uitgevochten	fight	-1	0	-1	-1	0	0	1	0	-1
waardevols	value	1	1	1	1	0	1	1	1	1
Mhz-band	support	1	1	1	1	0	1	1	1	1
hopende	hope	1	1	1	1	0	0	1	0	1
verhuizing	move	0	0	0	1	0	1	1	0	0
zwellen	develop	0	1	0	1	0	0	1	0	0
zeden	offend	0	-1	-1	-1	0	1	0	-1	-1
dataopslag	push	0	0	-1	-1	0	1	1	-1	0
bank-	draft	1	1	1	1	1	1	1	0	1
personeelsbehoefte	need	0	1	1	0	0	1	1	0	0
agro-milieubeleid	draw	0	0	1	1	1	1	0	0	0
ondernemersschap	raise	0	0	1	1	0	0	1	0	1
sportzaken	sport	1	0	1	1	1	1	1	0	1
siert	credit	1	0	1	1	1	1	1	1	1
modelleren	shape	1	1	0	1	1	1	1	0	0
krijgsplannen	battle	0	0	0	-1	1	1	1	0	0
beroeren	appreciate	1	1	1	1	0	1	1	0	1
rondliep	be	0	1	0	0	0	0	1	0	1
steuninstrumenten	support	1	1	1	1	0	1	1	1	1
productivisme	repeat	0	1	0	1	0	1	1	0	0
storende	disturb	1	-1	0	-1	0	1	0	-1	0
opeisbare	guarantee	1	1	1	1	1	1	1	1	1
bufferzones	zone	0	0	0	0	0	0	1	0	0
Product	account	0	0	0	0	0	1	1	0	0
perceptie	perceive	1	1	1	1	1	1	1	0	1
carrièrevoorwaarden	last	0	0	0	0	0	-1	-1	0	0
Vrijheden	process	0	0	1	1	1	1	1	0	0
Klosterneuburg	do	1	1	1	0	0	1	1	0	1
betrekkelijke	like	1	1	1	1	0	1	1	1	1
Göncz	be	0	1	0	0	0	0	1	0	1
jongelui	be	0	1	0	0	0	0	1	0	1
gevlogen	fly	0	1	1	0	0	0	1	0	1
bekritiseer	be	0	1	0	0	0	0	1	0	1
signeren	sign	0	0	1	1	1	1	1	0	1
Lomé-overeenkomsten	renew	0	0	1	1	0	1	1	0	0
concludeerde	conclude	1	1	1	1	0	1	1	0	1
Eurosceptici	look	0	1	1	0	0	0	1	0	1
milieufundamentalisme	do	1	1	1	0	0	1	1	0	1
scharrelkippen	want	1	0	1	0	0	1	1	0	1
camera's	record	1	1	1	1	1	1	1	0	1
Theato	do	1	1	1	0	0	1	1	0	1
geëtaleerd	display	0	0	0	1	0	0	1	0	0
dream	dream	0	1	0	0	0	0	1	0	1
federaal	move	0	0	0	1	0	1	1	0	0
attenter	raise	0	0	1	1	0	0	1	0	1
voogdij	grant	0	0	1	1	0	1	1	0	1
bijverdienen	form	1	1	1	1	1	1	1	0	1
beheersorgaan	manage	1	1	1	1	1	1	1	0	1
niet-ontvankelijkheidsverklaring	be	0	1	0	0	0	0	1	0	1
haveninfrastructuur	term	1	1	0	1	1	1	0	0	0
handelsproces	process	0	0	1	1	1	1	1	0	0
getackeld	tackle	0	1	-1	0	0	0	1	0	1
